frame_id,obj0_valid,obj0_class_norm,obj0_conf,obj0_dist_norm,obj0_lat_offset,obj0_width_norm,obj0_height_norm,obj0_lane_overlap,obj1_valid,obj1_class_norm,obj1_conf,obj1_dist_norm,obj1_lat_offset,obj1_width_norm,obj1_height_norm,obj1_lane_overlap,obj2_valid,obj2_class_norm,obj2_conf,obj2_dist_norm,obj2_lat_offset,obj2_width_norm,obj2_height_norm,obj2_lane_overlap,obj3_valid,obj3_class_norm,obj3_conf,obj3_dist_norm,obj3_lat_offset,obj3_width_norm,obj3_height_norm,obj3_lane_overlap,obj4_valid,obj4_class_norm,obj4_conf,obj4_dist_norm,obj4_lat_offset,obj4_width_norm,obj4_height_norm,obj4_lane_overlap,lane_r0c0,lane_r0c1,lane_r0c2,lane_r0c3,lane_r0c4,lane_r0c5,lane_r0c6,lane_r0c7,lane_r0c8,lane_r0c9,lane_r0c10,lane_r0c11,lane_r1c0,lane_r1c1,lane_r1c2,lane_r1c3,lane_r1c4,lane_r1c5,lane_r1c6,lane_r1c7,lane_r1c8,lane_r1c9,lane_r1c10,lane_r1c11,lane_r2c0,lane_r2c1,lane_r2c2,lane_r2c3,lane_r2c4,lane_r2c5,lane_r2c6,lane_r2c7,lane_r2c8,lane_r2c9,lane_r2c10,lane_r2c11,lane_r3c0,lane_r3c1,lane_r3c2,lane_r3c3,lane_r3c4,lane_r3c5,lane_r3c6,lane_r3c7,lane_r3c8,lane_r3c9,lane_r3c10,lane_r3c11,lane_r4c0,lane_r4c1,lane_r4c2,lane_r4c3,lane_r4c4,lane_r4c5,lane_r4c6,lane_r4c7,lane_r4c8,lane_r4c9,lane_r4c10,lane_r4c11,lane_r5c0,lane_r5c1,lane_r5c2,lane_r5c3,lane_r5c4,lane_r5c5,lane_r5c6,lane_r5c7,lane_r5c8,lane_r5c9,lane_r5c10,lane_r5c11,ego_steering,ego_throttle,lidar_s0,lidar_s1,lidar_s2,lidar_s3,lidar_s4,scenario,target_steering,target_throttle
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.14505,0.0,0.0,0.0,0.04163,0.06592,0.0,0.0,0.0,0.0,0.0,0.2066,0.00654,0.0,0.0,0.0,0.0,0.2181,0.00902,0.0,0.0,0.0,0.14947,0.06563,0.0,0.0,0.0,0.0,0.0,0.00778,0.21633,0.0,0.0,0.04894,0.13485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07358,0.11869,0.0,0.0,0.0,3.4255,4.8495,5.0,5.0,0.256,0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00513,0.10808,0.0,0.0,0.0,0.03355,0.06533,0.0,0.0,0.0,0.0,0.0,0.20289,0.00831,0.0,0.0,0.0,0.0,0.21934,0.00831,0.0,0.0,0.0,0.14917,0.06698,0.0,0.0,0.0,0.0,0.0,0.00831,0.21545,0.0,0.0,0.04912,0.13573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07518,0.12099,0.0,0.0,0.0,3.4155,4.8995,5.0,5.0,0.256,0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00548,0.11091,0.0,0.0,0.0,0.03833,0.06515,0.0,0.0,0.0,0.0,0.0,0.20147,0.00814,0.0,0.0,0.0,0.0,0.21916,0.00778,0.0,0.0,0.0,0.14841,0.0658,0.0,0.0,0.0,0.0,0.0,0.00831,0.21368,0.0,0.0,0.04381,0.13343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07376,0.11038,0.0,0.0,0.0,3.4105,4.8145,5.0,5.0,0.253,0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.10949,0.0,0.0,0.0,0.03921,0.06551,0.0,0.0,0.0,0.0,0.0,0.20837,0.00796,0.0,0.0,0.0,0.0,0.21916,0.00884,0.0,0.0,0.0,0.14965,0.06669,0.0,0.0,0.0,0.0,0.0,0.00814,0.21598,0.0,0.0,0.04935,0.1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07394,0.10825,0.0,0.0,0.0,3.4045,4.8645,5.0,5.0,0.255,0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00654,0.10242,0.0,0.0,0.0,0.03986,0.06521,0.0,0.0,0.0,0.0,0.0,0.20519,0.00708,0.0,0.0,0.0,0.0,0.21863,0.00884,0.0,0.0,0.0,0.14876,0.06492,0.0,0.0,0.0,0.0,0.0,0.00778,0.21616,0.0,0.0,0.05336,0.13838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07476,0.12494,0.0,0.0,0.0,3.3735,4.8145,5.0,5.0,0.255,0,0.0,0.18186
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00725,0.14629,0.0,0.0,0.0,0.03833,0.06657,0.0,0.0,0.0,0.0,0.0,0.20678,0.00619,0.0,0.0,0.0,0.0,0.21934,0.00902,0.0,0.0,0.0,0.15012,0.06427,0.0,0.0,0.0,0.0,0.0,0.00778,0.21563,0.0,0.0,0.05177,0.13785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07447,0.11392,0.0,0.0,0.18186,3.4275,4.6705,5.0,5.0,0.255,0,0.0,0.47435
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00601,0.11692,0.0,0.0,0.0,0.03402,0.06468,0.0,0.0,0.0,0.0,0.0,0.20537,0.00708,0.0,0.0,0.0,0.0,0.21952,0.00849,0.0,0.0,0.0,0.14976,0.0671,0.0,0.0,0.0,0.0,0.0,0.00831,0.21545,0.0,0.0,0.04369,0.13337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07583,0.12158,0.0,0.0,0.47435,3.4065,4.8145,5.0,5.0,0.257,0,0.0,0.64824
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00601,0.10649,0.0,0.0,0.0,0.03886,0.06498,0.0,0.0,0.0,0.0,0.0,0.20802,0.00672,0.0,0.0,0.0,0.0,0.2181,0.00884,0.0,0.0,0.0,0.15053,0.06704,0.0,0.0,0.0,0.0,0.0,0.00778,0.21492,0.0,0.0,0.05142,0.13945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07547,0.12105,0.0,0.0,0.64824,3.4895,4.7315,5.0,5.0,0.254,0,0.0,0.6957
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00584,0.12594,0.0,0.0,0.0,0.04281,0.06669,0.0,0.0,0.0,0.0,0.0,0.20572,0.00708,0.0,0.0,0.0,0.0,0.2181,0.00884,0.0,0.0,0.0,0.14711,0.0648,0.0,0.0,0.0,0.0,0.0,0.00778,0.21598,0.0,0.0,0.0434,0.13172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07529,0.11592,0.0,0.0,0.6957,3.3755,4.8145,5.0,5.0,0.256,0,0.0,0.97235
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00601,0.11568,0.0,0.0,0.0,0.03432,0.0635,0.0,0.0,0.0,0.0,0.0,0.20749,0.00725,0.0,0.0,0.0,0.0,0.2181,0.00955,0.0,0.0,0.0,0.14752,0.06492,0.0,0.0,0.0,0.0,0.0,0.00778,0.21333,0.0,0.0,0.04558,0.13485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07134,0.08573,0.0,0.0,0.97235,3.4175,5.0,5.0,5.0,5.0,0,0.0,0.8854
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124,0.15814,0.0,0.0,0.0,0.02718,0.05843,0.0,0.0,0.0,0.0,0.0,0.19422,0.01698,0.0,0.0,0.0,0.0,0.21863,0.00814,0.0,0.0,0.0,0.13803,0.08166,0.0,0.0,0.0,0.0,0.0,0.00867,0.21527,0.0,0.0,0.04357,0.14658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07187,0.08538,0.0,0.0,0.8854,3.7475,5.0,5.0,5.0,5.0,0,0.0,0.78265
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16362,0.0,0.0,0.0,0.01562,0.06787,0.0,0.0,0.0,0.0,0.0,0.18591,0.02529,0.0,0.0,0.0,0.0,0.20855,0.0138,0.0,0.0,0.0,0.12459,0.099,0.0,0.0,0.0,0.0,0.0,0.00531,0.21987,0.0,0.0,0.05077,0.15371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06533,0.13278,0.0,0.0,0.78265,3.3555,4.6805,5.0,5.0,5.0,0,0.0,0.75893
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053,0.17636,0.0,0.0,0.0,0.00631,0.06745,0.0,0.0,0.0,0.0,0.0,0.19245,0.0207,0.0,0.0,0.0,0.0,0.19723,0.01804,0.0,0.0,0.0,0.12854,0.09009,0.0,0.0,0.0,0.0,0.0,0.00212,0.225,0.0,0.0,0.00531,0.08544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06268,0.11563,0.0,0.0,0.75893,3.4645,4.8875,5.0,5.0,5.0,0,0.0,0.85379
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035,0.18555,0.0,0.0,0.0,0.01144,0.0694,0.0,0.0,0.0,0.0,0.0,0.19475,0.02176,0.0,0.0,0.0,0.0,0.19652,0.0191,0.0,0.0,0.0,0.13437,0.08992,0.0,0.0,0.0,0.0,0.0,0.00212,0.2227,0.0,0.0,0.02241,0.13343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06085,0.05413,0.0,0.0,0.85379,3.496,4.6915,5.0,5.0,5.0,0,0.0,0.8395579999999999
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053,0.18149,0.0,0.0,0.0,0.00419,0.07435,0.0,0.0,0.0,0.0,0.0,0.18998,0.02105,0.0,0.0,0.0,0.0,0.19705,0.01999,0.0,0.0,0.0,0.12995,0.09257,0.0,0.0,0.0,0.0,0.0,0.00142,0.22305,0.0,0.0,0.04009,0.14829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06008,0.09575,0.0,0.0,0.86169,3.349,4.3175,5.0,5.0,5.0,0,0.0,0.8601099999999999
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00177,0.17353,0.0,0.0,0.0,0.0089,0.07406,0.0,0.0,0.0,0.0,0.0,0.18892,0.01627,0.0,0.0,0.0,0.0,0.19511,0.01928,0.0,0.0,0.0,0.13608,0.08591,0.0,0.0,0.0,0.0,0.0,0.00212,0.22093,0.0,0.0,0.04104,0.14098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06014,0.08508,0.0,0.0,0.86169,3.3945,4.3575,5.0,5.0,5.0,0,0.0,0.8601099999999999
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00389,0.16061,0.0,0.0,0.0,0.02187,0.07417,0.0,0.0,0.0,0.0,0.0,0.19882,0.01344,0.0,0.0,0.0,0.0,0.20501,0.0161,0.0,0.0,0.0,0.1431,0.08101,0.0,0.0,0.0,0.0,0.0,0.00371,0.22005,0.0,0.0,0.052,0.14257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06627,0.06162,0.0,0.0,0.86169,3.2565,4.8425,5.0,5.0,5.0,0,0.0,0.86011
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00301,0.17636,0.0,0.0,0.0,0.01244,0.06327,0.0,0.0,0.0,0.0,0.0,0.19422,0.0161,0.0,0.0,0.0,0.0,0.21333,0.0115,0.0,0.0,0.0,0.14228,0.07989,0.0,0.0,0.0,0.0,0.0,0.00637,0.21686,0.0,0.0,0.0605,0.14611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0737,0.10584,0.0,0.0,0.86169,3.4315,4.8145,5.0,5.0,5.0,0,0.0,0.85853
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00177,0.17459,0.0,0.0,0.0,0.00796,0.06439,0.0,0.0,0.0,0.0,0.0,0.19741,0.01645,0.0,0.0,0.0,0.0,0.20961,0.01256,0.0,0.0,0.0,0.14127,0.08249,0.0,0.0,0.0,0.0,0.0,0.00619,0.2158,0.0,0.0,0.06085,0.15354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0717,0.0806,0.0,0.0,0.85379,3.0555,4.5745,5.0,5.0,5.0,0,0.0,0.85695
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00159,0.18732,0.0,0.0,0.0,0.01946,0.05784,0.0,0.0,0.0,0.0,0.0,0.19917,0.01698,0.0,0.0,0.0,0.0,0.22075,0.00548,0.0,0.0,0.0,0.14463,0.07824,0.0,0.0,0.0,0.0,0.0,0.01256,0.21333,0.0,0.0,0.06739,0.14752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08833,0.0668,0.0,0.0,0.86169,2.9585,4.7515,5.0,5.0,5.0,0,0.0,0.8553700000000001
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00336,0.17866,0.0,0.0,0.0,0.01787,0.05767,0.0,0.0,0.0,0.0,0.0,0.19917,0.0138,0.0,0.0,0.0,0.0,0.21952,0.00654,0.0,0.0,0.0,0.15195,0.07465,0.0,0.0,0.0,0.0,0.0,0.01008,0.20625,0.0,0.0,0.07406,0.14157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08396,0.05366,0.0,0.0,0.85379,3.1455,4.4125,5.0,5.0,5.0,0,0.0,0.8553700000000001
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00177,0.17176,0.0,0.0,0.0,6e-05,0.04876,0.0,0.0,0.0,0.0,0.0,0.19422,0.0161,0.0,0.0,0.0,0.0,0.20678,0.01557,0.0,0.0,0.0,0.14629,0.07836,0.0,0.0,0.0,0.0,0.0,0.00407,0.22305,0.0,0.0,0.06002,0.14393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06698,0.11486,0.0,0.0,0.85379,2.9345,4.2155,5.0,5.0,5.0,0,0.0,0.85379
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19475,0.0,0.0,0.0,0.0,0.03927,0.0,0.0,0.0,0.0,0.0,0.18361,0.02724,0.0,0.0,0.0,0.0,0.19086,0.02423,0.0,0.0,0.0,0.12759,0.09776,0.0,0.0,0.0,0.0,0.0,0.00053,0.22925,0.0,0.0,0.04552,0.15631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05395,0.11692,0.0,0.0,0.85379,3.0165,4.3245,5.0,5.0,5.0,0,0.0,0.85379
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00731,0.00171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19658,0.00118,0.0,0.0,0.0,0.05413,0.0,0.0,0.0,0.0,0.0,0.1569,0.05448,0.0,0.0,0.0,0.0,0.16592,0.05271,0.0,0.0,0.0,0.08998,0.12989,0.0,0.0,0.0,0.0,0.0,0.0,0.22706,0.00094,0.0,0.01651,0.19045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02742,0.12488,0.0,0.0,0.85379,2.8225,4.3625,5.0,5.0,5.0,0,0.0,0.85379
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16881,0.00065,0.0,0.0,0.0,0.05767,0.0,0.0,0.0,0.0,0.0,0.14381,0.07659,0.0,0.0,0.0,0.0,0.15035,0.06952,0.0,0.0,0.0,0.06922,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.21663,0.00483,0.0,0.00053,0.19829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148,0.06232,0.0,0.0,0.85379,2.8435,4.2155,5.0,5.0,5.0,0,0.0,0.85379
